nprocs,input,max_time,avg_time
1,720,3.8087708950,3.8087708950
1,1008,10.6198878288,10.6198878288
1,1440,31.0295331478,31.0295331478
1,1728,53.6396448612,53.6396448612
1,2160,104.9821150303,104.9821150303
4,720,0.9542479515,0.9542327523
4,1008,2.6211109161,2.6203906536
4,1440,7.6304569244,7.6290170550
4,1728,13.2416582108,13.2328855395
4,2160,26.2086858749,26.1941807866
9,720,0.5706961155,0.5382004844
9,1008,1.5525319576,1.4242667357
9,1440,4.5269920826,4.1517559422
9,1728,7.8230550289,7.8193351958
9,2160,15.2622308731,13.9873613252
