nprocs, input, strategy, average_time, max_time, speed_up, efficiency, total_overhead
1,1000000,Strategy 1,0.004896,0.004896,1.0,1.0,0.0
2,1000000,Strategy 1,0.002152,0.002153,2.2740362285183466,1.1370181142591733,-0.0005900000000000002
4,1000000,Strategy 1,0.001693,0.003525,1.388936170212766,0.3472340425531915,0.009204
8,1000000,Strategy 1,0.000975,0.003963,1.2354277062831187,0.15442846328538984,0.026808000000000002
1,1000000,Strategy 2,0.004870,0.004870,1.0053388090349076,1.0053388090349076,-2.599999999999998e-05
2,1000000,Strategy 2,0.002152,0.002153,2.2740362285183466,1.1370181142591733,-0.0005900000000000002
4,1000000,Strategy 2,0.002311,0.003541,1.3826602654617342,0.34566506636543354,0.009267999999999998
8,1000000,Strategy 2,0.001166,0.003014,1.6244193762441936,0.2030524220305242,0.019216
1,1000000,Strategy 3,0.004896,0.004896,1.0,1.0,0.0
2,1000000,Strategy 3,0.002167,0.002170,2.256221198156682,1.128110599078341,-0.0005560000000000001
4,1000000,Strategy 3,0.002346,0.003590,1.3637883008356546,0.34094707520891365,0.009464
8,1000000,Strategy 3,0.001189,0.002993,1.6358169061142667,0.20447711326428333,0.019048
