nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency, total_overhead
1,100000000,Strategy 1,100000000.000000,0.426157,0.426157,1.0,1.0,0.0
2,100000000,Strategy 1,100000000.000000,0.213526,0.213539,1.9956869705299733,0.9978434852649867,0.0009210000000000051
4,100000000,Strategy 1,100000000.000000,0.112339,0.117908,3.6143179428028636,0.9035794857007159,0.04547499999999999
8,100000000,Strategy 1,100000000.000000,0.063157,0.069788,6.1064509657820825,0.7633063707227603,0.13214700000000001
1,100000000,Strategy 2,100000000.000000,0.427245,0.427245,0.9974534517665509,0.9974534517665509,0.0010879999999999779
2,100000000,Strategy 2,100000000.000000,0.213519,0.213522,1.9958458613163985,0.9979229306581993,0.0008869999999999711
4,100000000,Strategy 2,100000000.000000,0.106971,0.107068,3.9802461986774764,0.9950615496693691,0.002114999999999978
8,100000000,Strategy 2,100000000.000000,0.053680,0.053760,7.927027529761904,0.990878441220238,0.00392300000000001
1,100000000,Strategy 3,100000000.000000,0.426923,0.426923,0.9982057654424803,0.9982057654424803,0.0007659999999999889
2,100000000,Strategy 3,100000000.000000,0.213933,0.213934,1.9920022062879206,0.9960011031439603,0.001711000000000018
4,100000000,Strategy 3,100000000.000000,0.107112,0.107226,3.974381213511648,0.993595303377912,0.0027469999999999994
8,100000000,Strategy 3,100000000.000000,0.055002,0.055591,7.665935133384901,0.9582418916731126,0.018571000000000004
