nprocs, input, strategy, result, average_time, max_time
1,100000000,Strategy 1,100000000.000000,0.417118,0.417118
2,200000000,Strategy 1,200000000.000000,0.417407,0.417411
4,400000000,Strategy 1,400000000.000000,0.422807,0.428213
8,800000000,Strategy 1,800000000.000000,0.426319,0.432427
1,100000000,Strategy 2,100000000.000000,0.416737,0.416737
2,200000000,Strategy 2,200000000.000000,0.416824,0.416845
4,400000000,Strategy 2,400000000.000000,0.417587,0.418161
8,800000000,Strategy 2,800000000.000000,0.416834,0.417224
1,100000000,Strategy 3,100000000.000000,0.417037,0.417037
2,200000000,Strategy 3,200000000.000000,0.417381,0.417383
4,400000000,Strategy 3,400000000.000000,0.417390,0.417654
8,800000000,Strategy 3,800000000.000000,0.417738,0.417987
