nprocs, input, strategy, result, average_time, max_time
1,100000000,Strategy 1,100000000.000000,0.426157,0.426157
2,100000000,Strategy 1,100000000.000000,0.213526,0.213539
4,100000000,Strategy 1,100000000.000000,0.112339,0.117908
8,100000000,Strategy 1,100000000.000000,0.063157,0.069788
1,100000000,Strategy 2,100000000.000000,0.427245,0.427245
2,100000000,Strategy 2,100000000.000000,0.213519,0.213522
4,100000000,Strategy 2,100000000.000000,0.106971,0.107068
8,100000000,Strategy 2,100000000.000000,0.053680,0.053760
1,100000000,Strategy 3,100000000.000000,0.426923,0.426923
2,100000000,Strategy 3,100000000.000000,0.213933,0.213934
4,100000000,Strategy 3,100000000.000000,0.107112,0.107226
8,100000000,Strategy 3,100000000.000000,0.055002,0.055591
