nprocs, input, strategy, result, average_time, max_time
1,10000,Strategy 1,10000.000000,0.000048,0.000048
2,20000,Strategy 1,20000.000000,0.000061,0.000063
4,40000,Strategy 1,40000.000000,0.005444,0.010894
8,80000,Strategy 1,80000.000000,0.008959,0.014839
1,10000,Strategy 2,10000.000000,0.000049,0.000049
2,20000,Strategy 2,20000.000000,0.000062,0.000065
4,40000,Strategy 2,40000.000000,0.000420,0.000776
8,80000,Strategy 2,80000.000000,0.000367,0.000938
1,10000,Strategy 3,10000.000000,0.000048,0.000048
2,20000,Strategy 3,20000.000000,0.000085,0.000086
4,40000,Strategy 3,40000.000000,0.002036,0.003980
8,80000,Strategy 3,80000.000000,0.002317,0.004583
